date,country,monthly_hashrate,monthly_absolute_hashrate
2019-09-01,Mainland China,75.53%,66.76
2019-10-01,Mainland China,74.78%,71.03
2019-11-01,Mainland China,72.33%,66.21
2019-12-01,Mainland China,73.46%,70.06
2020-01-01,Mainland China,72.69%,79.41
2020-02-01,Mainland China,72.98%,80.59
2020-03-01,Mainland China,67.06%,71.65
2020-04-01,Mainland China,64.81%,72.19
2020-05-01,Mainland China,59.48%,62.89
2020-06-01,Mainland China,64.67%,72.19
2020-07-01,Mainland China,66.86%,81.71
2020-08-01,Mainland China,66.86%,82.71
2020-09-01,Mainland China,67.12%,91.1
2020-10-01,Mainland China,67.38%,88.92
2020-11-01,Mainland China,55.58%,71.7
2020-12-01,Mainland China,53.27%,72.72
2021-01-01,Mainland China,53.3%,79.53
2021-02-01,Mainland China,51.58%,80.01
2021-03-01,Mainland China,49.06%,78.29
2021-04-01,Mainland China,46.04%,72.39
2021-05-01,Mainland China,43.98%,70.91
2021-06-01,Mainland China,34.25%,41.12
2021-07-01,Mainland China,0%,0
2021-08-01,Mainland China,0%,0