President,Subgroup,Date,Approve,Disapprove
Joe Biden,All polls,2/25/22,40.80,53.20
Joe Biden,All polls,2/24/22,42.10,52.70
Joe Biden,All polls,2/23/22,42.40,52.70
Joe Biden,All polls,2/22/22,42.30,52.90
Joe Biden,All polls,2/21/22,41.80,53.60
Joe Biden,All polls,2/20/22,41.80,53.60
Joe Biden,All polls,2/19/22,41.60,53.10
Joe Biden,All polls,2/18/22,41.60,53.10
Joe Biden,All polls,2/17/22,41.40,53.00
Joe Biden,All polls,2/16/22,41.40,53.00
Joe Biden,All polls,2/15/22,41.80,53.10
Joe Biden,All polls,2/14/22,41.90,53.10
Joe Biden,All polls,2/13/22,41.80,53.10
Joe Biden,All polls,2/12/22,41.40,52.50
Joe Biden,All polls,2/11/22,41.40,52.50
Joe Biden,All polls,2/10/22,41.30,52.60
Joe Biden,All polls,2/9/22,41.30,52.60
Joe Biden,All polls,2/8/22,41.20,52.80
Joe Biden,All polls,2/7/22,41.20,52.80
Joe Biden,All polls,2/6/22,41.70,52.80
Joe Biden,All polls,2/5/22,41.70,52.80
Joe Biden,All polls,2/4/22,41.70,52.80
Joe Biden,All polls,2/3/22,41.50,53.00
Joe Biden,All polls,2/2/22,41.80,52.60
Joe Biden,All polls,2/1/22,41.70,53.20
Joe Biden,All polls,1/31/22,41.80,53.00
Joe Biden,All polls,1/30/22,41.80,53.10
Joe Biden,All polls,1/29/22,41.80,53.10
Joe Biden,All polls,1/28/22,41.80,52.90
Joe Biden,All polls,1/27/22,41.80,53.20
Joe Biden,All polls,1/26/22,41.20,53.70
Joe Biden,All polls,1/25/22,41.50,53.90
Joe Biden,All polls,1/24/22,41.30,53.50
Joe Biden,All polls,1/23/22,42.30,53.40
Joe Biden,All polls,1/22/22,41.90,53.50
Joe Biden,All polls,1/21/22,41.90,53.50
Joe Biden,All polls,1/20/22,41.90,53.40
Joe Biden,All polls,1/19/22,41.90,52.50
Joe Biden,All polls,1/18/22,42.30,52.40
Joe Biden,All polls,1/17/22,42.50,52.10
Joe Biden,All polls,1/16/22,42.50,52.10
Joe Biden,All polls,1/15/22,42.20,51.50
Joe Biden,All polls,1/14/22,42.20,51.50
Joe Biden,All polls,1/13/22,42.40,51.40
Joe Biden,All polls,1/12/22,42.20,51.60
Joe Biden,All polls,1/11/22,43.00,51.60
Joe Biden,All polls,1/10/22,43.10,51.50
Joe Biden,All polls,1/9/22,42.90,51.90
Joe Biden,All polls,1/8/22,42.90,51.90
Joe Biden,All polls,1/7/22,42.90,51.90
Joe Biden,All polls,1/6/22,42.90,51.70
Joe Biden,All polls,1/5/22,43.10,51.60
Joe Biden,All polls,1/4/22,43.30,51.70
Joe Biden,All polls,1/3/22,43.50,51.60
Joe Biden,All polls,1/2/22,43.30,51.60
Joe Biden,All polls,1/1/22,43.30,51.60